Details,Accession,Release_Date,Species,Genus,Family,Length,Nuc._Completeness,Genotype,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
,KF530064,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1996-12-04,,"Human coronavirus OC43 strain OC43/human/USA/9612-9/1996, complete genome"
,KF268339,2013-08-14T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31283,complete,,USA,Mus musculus,,2012-10-25,,"Murine coronavirus strain MHV/BHKR_lab/USA/icA59_ns2M/2012, complete genome"
,KF514390,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2010-10-01,,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.4P20/2010, complete genome"
,KF530067,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30608,complete,,USA,Homo sapiens,,1991-02-07,,"Human coronavirus OC43 strain OC43/human/USA/912-10/1991, complete genome"
,KF530085,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30569,complete,,USA,Homo sapiens,,1987-01-22,,"Human coronavirus OC43 strain OC43/human/USA/871-25/1987, complete genome"
,KF514421,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2010-10-01,,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.2P20/2010, complete genome"
,KF530078,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30568,complete,,USA,Homo sapiens,,1996-12-17,,"Human coronavirus OC43 strain OC43/human/USA/9612-29/1996, complete genome"
,KF514419,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2009-05-19,,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P10/2009, complete genome"
,KF530096,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30589,complete,,USA,Homo sapiens,,1991-01-15,,"Human coronavirus OC43 strain OC43/human/USA/911-38/1991, complete genome"
,KF514407,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29689,complete,,USA,,,2010-10-01,,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010, complete genome"
,KF530072,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1997-12-11,,"Human coronavirus OC43 strain OC43/human/USA/9712-13/1997, complete genome"
,KF530074,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30590,complete,,USA,Homo sapiens,,1992-12-16,,"Human coronavirus OC43 strain OC43/human/USA/9212-33/1992, complete genome"
,KF530089,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30611,complete,,USA,Homo sapiens,,1991-01-29,,"Human coronavirus OC43 strain OC43/human/USA/911-66/1991, complete genome"
,KF430201,2013-08-14T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29934,complete,,USA,Homo sapiens,,2010-01-22,,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-18/2010, complete genome"
,KF530079,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30581,complete,,USA,Homo sapiens,,1991-03-14,,"Human coronavirus OC43 strain OC43/human/USA/913-29/1991, complete genome"
,KF530086,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1987-02-10,,"Human coronavirus OC43 strain OC43/human/USA/872-5/1987, complete genome"
,KF530071,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30578,complete,,USA,Homo sapiens,,1992-05-04,,"Human coronavirus OC43 strain OC43/human/USA/925-1/1992, complete genome"
,KF514396,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2009-05-19,,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P10/2009, complete genome"
,KF686341,2013-09-28T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29832,complete,,USA,Homo sapiens,,2010-01-16,,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-10/2010, complete genome"
,KF268336,2013-08-14T00:00:00Z,Murine coronavirus,Betacoronavirus,Coronaviridae,31294,complete,,USA,Mus musculus,,2012-10-25,,"Murine coronavirus strain MHV/BHKR_lab/USA/infA59_H126A/2012, complete genome"
,KF686340,2013-09-28T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29923,complete,,USA,Homo sapiens,,2009-11-28,,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-5/2009, complete genome"
,KF530068,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30572,complete,,USA,Homo sapiens,,2000-07-27,,"Human coronavirus OC43 strain OC43/human/USA/007-11/2000, complete genome"
,KF514411,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2009-05-19,,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P10/2009, complete genome"
,KF530066,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30564,complete,,USA,Homo sapiens,,1990-01-16,,"Human coronavirus OC43 strain OC43/human/USA/901-33/1990, complete genome"
,KF514422,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2010-10-01,,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.3P20/2010, complete genome"
,KF530070,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30573,complete,,USA,Homo sapiens,,1999-01-15,,"Human coronavirus OC43 strain OC43/human/USA/991-19/1999, complete genome"
,KF530061,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1990-01-19,,"Human coronavirus OC43 strain OC43/human/USA/901-43/1990, complete genome"
,KF514391,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2010-10-01,,"SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.9P20/2010, complete genome"
,KF514392,2013-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29687,complete,,USA,,,2010-10-01,,"SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.4P20/2010, complete genome"
,AY394995,2004-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29765,complete,,,,,,,"SARS coronavirus HSZ-Cc, complete genome"
,KC667074,2013-02-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30112,complete,,United Kingdom,Homo sapiens,,2012-09-19,,"Human betacoronavirus 2c England-Qatar/2012, complete genome"
,KF906249,2014-04-02T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,31052,complete,,United Arab Emirates,Camelus bactrianus,,2013-04-03,,"Dromedary camel coronavirus HKU23 strain HKU23-265F, complete genome"
,JX869059,2012-09-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30119,complete,,,Homo sapiens,,2012-06-13,,"Human betacoronavirus 2c EMC/2012, complete genome"
,KM210277,2015-01-18T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30031,complete,,United Kingdom,Homo sapiens,"lung, oronasopharynx",2013-02-13,,"Middle East respiratory syndrome coronavirus isolate England/4/2013, complete genome"
,KM210278,2015-01-18T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30035,complete,,United Kingdom,Homo sapiens,oronasopharynx,2013-02-10,,"Middle East respiratory syndrome coronavirus isolate England/3/2013, complete genome"
,KP719932,2015-02-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29559,complete,,United Arab Emirates,Camelus dromedarius,,2014-06,,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1243.12/2014, complete genome"
,KF923906,2015-02-06T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30737,complete,,China,Homo sapiens,oronasopharynx,2012-03,,"Human coronavirus OC43 isolate 3194A/2012, complete genome"
,KP719933,2015-02-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29559,complete,,United Arab Emirates,Camelus dromedarius,,,,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1209/2014, complete genome"
,KF923888,2015-02-06T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30719,complete,,China,Homo sapiens,oronasopharynx,2010-07,,"Human coronavirus OC43 isolate 2145A/2010, complete genome"
,KP223131,2014-12-14T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,USA,Homo sapiens,"lung, oronasopharynx",2014-06,,"Middle East respiratory syndrome coronavirus isolate Florida/USA-2_Saudi Arabia_2014, complete genome"
,KF530077,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,complete,,USA,Homo sapiens,,1987-03-12,,"Human coronavirus OC43 strain OC43/human/USA/873-16/1987, complete genome"
,KF686343,2013-09-28T00:00:00Z,Human coronavirus HKU1,Betacoronavirus,Coronaviridae,29983,complete,,USA,Homo sapiens,,2010-01-08,,"Human coronavirus HKU1 strain HKU1/human/USA/HKU1-13/2010, complete genome"
,KF186565,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30069,complete,,Saudi Arabia,Homo sapiens,,2013-04-22,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_3_2013, complete genome"
,KF600627,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30076,complete,,Saudi Arabia,Homo sapiens,,2013-05-07,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_12_2013, complete genome"
,KF600644,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30078,complete,,Saudi Arabia,Homo sapiens,,2013-05-12,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_16_2013, complete genome"
,KF600612,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30063,complete,,Saudi Arabia,Homo sapiens,,2012-10-23,,"Middle East respiratory syndrome coronavirus isolate Riyadh_1_2012, complete genome"
,KF600632,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30108,complete,,Saudi Arabia,Homo sapiens,,2013-05-23,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_19_2013, complete genome"
,KF600634,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30063,complete,,Saudi Arabia,Homo sapiens,,2013-05-30,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_21_2013, complete genome"
,KF600651,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30105,complete,,Saudi Arabia,Homo sapiens,,2013-05-23,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_18_2013, complete genome"
,KF600630,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30081,complete,,Saudi Arabia,Homo sapiens,,2013-05-13,,"Middle East respiratory syndrome coronavirus isolate Buraidah_1_2013, complete genome"
,KF192507,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,United Arab Emirates,Homo sapiens,,2013,,"Middle East respiratory syndrome coronavirus, complete genome"
,KF186566,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30113,complete,,Saudi Arabia,Homo sapiens,,2013-04-21,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_2_2013, complete genome"
,KF923900,2015-02-06T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30722,complete,,China,Homo sapiens,oronasopharynx,2006-10,,"Human coronavirus OC43 isolate 3647/2006, complete genome"
,KJ958219,2014-11-19T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30714,complete,,China,Homo sapiens,,2011-10-04,,"Human coronavirus OC43 strain LY342, complete genome"
,KJ958218,2014-11-19T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30714,complete,,China,Homo sapiens,,2011-10-03,,"Human coronavirus OC43 strain LY341, complete genome"
,KC869678,2013-07-30T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30111,complete,,South Africa,Neoromicia capensis,,2011,,"Coronavirus Neoromicia/PML-PHE1/RSA/2011, complete genome"
,KP719927,2015-02-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29559,complete,,United Arab Emirates,Camelus dromedarius,,2014-06,,"Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.9/2014, complete genome"
,KJ650098,2014-05-05T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30117,complete,,Qatar,Camelus dromedarius,,2014-02-16,,"Middle East respiratory syndrome coronavirus isolate Camel/Qatar_2_2014, complete genome"
,KF569996,2014-04-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29805,complete,,China,Rhinolophus affinis,,2011,,"Rhinolophus affinis coronavirus isolate LYRa11, complete genome"
,KF958702,2014-05-01T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29851,complete,,Saudi Arabia,Homo sapiens,,2013-11-05,,"Middle East respiratory syndrome coronavirus isolate MERS-CoV-Jeddah-human-1, complete genome"
,KJ556336,2014-03-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29890,complete,,Saudi Arabia,Homo sapiens,,2013-11-06,,"Middle East respiratory syndrome coronavirus isolate Jeddah_1_2013, complete genome"
,KJ829365,2014-05-14T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30123,complete,,USA,Homo sapiens,"lung, oronasopharynx",2014-05-10,,"Middle East respiratory syndrome coronavirus strain Florida/USA-2_Saudi Arabia_2014, complete genome"
,KJ477102,2014-03-04T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29908,complete,,Egypt,Camelus dromedarius,,2013,,"Middle East respiratory syndrome coronavirus, complete genome"
,KJ614529,2014-05-04T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30094,complete,,,,,,,"Human betacoronavirus 2c Jordan-N3/2012 isolate MG167, complete genome"
,KM015348,2014-06-18T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30042,complete,,United Kingdom,Homo sapiens,oronasopharynx,2013-02-10,,"Middle East respiratory syndrome coronavirus isolate England/2/2013, complete genome"
,KF917527,2014-05-01T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29851,complete,,Saudi Arabia,Camelus,,2013-11-08,,"Middle East respiratory syndrome coronavirus isolate MERS-CoV-Jeddah-Camel-1, complete genome"
,KF600620,2013-09-17T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30056,complete,,Saudi Arabia,Homo sapiens,,2012-06-19,,"Middle East respiratory syndrome coronavirus isolate Bisha_1_2012, complete genome"
,KF186567,2013-06-10T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30117,complete,,Saudi Arabia,Homo sapiens,,2013-05-09,,"Middle East respiratory syndrome coronavirus isolate Al-Hasa_1_2013, complete genome"
,KJ156952,2014-02-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30054,complete,,Saudi Arabia,Homo sapiens,,2013-03-01,,"Middle East respiratory syndrome coronavirus isolate Riyadh_4_2013, complete genome"
,KJ156874,2014-02-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30055,complete,,Saudi Arabia,Homo sapiens,,2013-08-28,,"Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_6_2013, complete genome"
,KJ156934,2014-02-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30055,complete,,Saudi Arabia,Homo sapiens,,2013-08-15,,"Middle East respiratory syndrome coronavirus isolate Riyadh_14_2013, complete genome"
,KJ156910,2014-02-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30055,complete,,Saudi Arabia,Homo sapiens,,2013-08-05,,"Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_2_2013, complete genome"
,KJ156949,2014-02-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30055,complete,,Saudi Arabia,Homo sapiens,,2013-06-12,,"Middle East respiratory syndrome coronavirus isolate Taif_1_2013, complete genome"
,KC545383,2013-10-21T00:00:00Z,Hedgehog coronavirus 1,Betacoronavirus,Coronaviridae,30148,complete,,Germany,Erinaceus europaeus,feces,2012,,"Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome"
,KF530081,2013-10-07T00:00:00Z,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30571,complete,,USA,Homo sapiens,,1999-01-07,,"Human coronavirus OC43 strain OC43/human/USA/991-5/1999, complete genome"
,JF292902,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,Mus musculus,,2008-10-10,,"SARS coronavirus MA15 ExoN1 isolate d4ym4, complete genome"
,HQ890542,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,Mus musculus,,2008-09-17,,"SARS coronavirus MA15 isolate d2om1, complete genome"
,JF292903,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29645,complete,,USA,Mus musculus,,2008-10-10,,"SARS coronavirus MA15 ExoN1 isolate d4ym5, complete genome"
,HQ890531,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29645,complete,,USA,Mus musculus,,2008-10-10,,"SARS coronavirus MA15 ExoN1 isolate d4ym1, complete genome"
,HQ890535,2011-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,complete,,USA,Mus musculus,,2008-09-17,,"SARS coronavirus MA15 ExoN1 isolate d2om2, complete genome"
