name,address,county,ig_xcord,ig_ycord,shortname
Haven Bay Care Centre,"Haven Bay Care Centre, Ballinacubby, Kinsale, Co. Cork, Cork",Cork,163255.59014,50210.7798639,Haven Bay Care Centre
Haven Wood Retirement Home,"Haven Wood Retirement Home, Bishopscourt, Ballygunner, Waterford, Waterford",Waterford,260700.099358,112615.089649,Haven Wood Retirement Home
Hazel Hall Nursing Home,"Prosperous Road, Clane, Co. Kildare, W91da07",Kildare,286517.08656636,227364.096944547,Hazel Hall 
Heather House Community Nursing Unit,"Heather House Community Nursing Unit, St Marys Orthopaedic Hospital, Gurranabraher, Cork, Cork",Cork,165828.785573,72591.3604305,Heather House Community 
Heatherfield Nursing Home,"Heatherfield Nursing Home, Bush Lane, Raynestown, Dunshaughlin, Co. Meath Meath",Meath,298195.396286,248296.592002,Heatherfield 
Heatherlee Nursing Home,"Heatherlee Nursing Home, Lawlor's Cross, Tralee Road, Killarney, Kerry",Kerry,95923.2695382,96576.7440931,Heatherlee 
Hillcrest House,"NURSING HOME, LONG LANE, LETTERKENNY, CO. DONEGAL",Donegal,216488.143592627,412761.591134686,Hillcrest House
Hillside Nursing Home,"Hillside Nursing Home, Attidermot, Aughrim, Ballinasloe, Co. Galway Galway",Galway,178603.930368,227955.919208,Hillside 
Hillview Nursing Home,"Hillview Nursing Home, Tullow Road, Carlow, Carlow",Carlow,273211.872489,176522.81338,Hillview 
Hillview Private Nursing & Retirement Residence,"Hillview Private Nursing & Retirement Residence, Rathfeigh, Tara, Co. Meath, Meath",Meath,300248.515768,261321.044787,Hillview Private 
Hollymount Private Nursing and Retirement Home,"Hollymount Private Nursing and Retirement Home, Kilrush, Hollymount, Co. Mayo, Mayo",Mayo,125926.920609,268140.476575,Hollymount Private 
Holy Family Nursing Home,"Holy Family Nursing Home, Magheramore, Killimor, Ballinasloe, Galway Galway",Galway,180508.891728,213474.585714,Holy Family 
Holy Ghost Residential Home,"Holy Ghost Residential Home, Cork Road, Waterford, Waterford",Waterford,260037.604278,111432.438989,Holy Ghost Residential Home
Howth Hill Lodge,"Howth Hill Lodge, Thormanby Road, Howth, Co. Dublin, Co. Dublin",Dublin,329459.551391,237920.13214,Howth Hill Lodge
Innis Ree Lodge,"Innis Ree Lodge, Ballyleague, Lanesboro, Co. Roscommon, Roscommon",Roscommon,199958.90147,269775.43679,Innis Ree Lodge
Kanturk Community Hospital,"Kanturk Community Hospital, Kanturk, Co. Cork, Cork",Cork,138038.426553,103182.318527,Kanturk Community Hospital
Kenmare Community Nursing Unit- New Build,"Hospital Road, Kenmare, Co. Kerry, Kerry",Kerry,91173.953,71840.359,Kenmare Community 
Kenmare Nursing Home 'Tir na nOg',"Kenmare Nursing Home 'Tir na nOg', Killaha East, Kenmare, Co. Kerry, Kerry",Kerry,89682.5490955,69066.6050409,Kenmare 
Kerlogue Nursing Home,nhomes['Service name'],Wexford,305286.21294,118998.629002,Kerlogue 
Kilbrew Recuperation and Nursing Care,"Kilbrew Recuperation and Nursing Care, Curragh, Ashbourne, Co. Meath, Meath",Meath,303084.349594,255179.364934,Kilbrew Recuperation and 
Kilcara House Nursing Home,"Kilcara House Nursing Home, Kilcara, Duagh, Listowel, Co. Kerry Kerry",Kerry,105443.626693,130219.849485,Kilcara House 
Kilcolgan Nursing Home,"Kilcolgan Nursing Home, Kilcolgan, Co. Galway, Galway",Galway,142597.077499,218018.34004,Kilcolgan 
"Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards)","Killarney Community Hospitals (Fuschia, Hawthorn and Heather Wards), St. Margaret's Road, Killarney, Co. Kerry Kerry",Kerry,95895.8392497,91608.7108262,Killarney Community Hospitals
Killarney Nursing Home,"Killarney Nursing Home, Rock Road, Killarney, Co. Kerry, Kerry",Kerry,96075.518131,91190.9302273,Killarney Nursing Home
Killeline Nursing Home,"Killeline Nursing Home, Cork Road, Newcastle West, Co. Limerick, Limerick",Limerick,128922.606388,133125.516427,Killeline 
Killiney Grove Nursing Home,"Killiney Grove Nursing Home, Killiney Hill Road, Killiney, Co. Dublin, Co. Dublin",Dublin,325556.256831,226104.996614,Killiney Grove 
Killure Bridge Nursing Home,"Killure Bridge Nursing Home, Airport Road, Waterford, Waterford",Waterford,260700.099358,112615.089649,Killure Bridge 
Killybegs Community Hospital,"Killybegs Community Hospital, Killybegs, Co. Donegal, Donegal",Donegal,171230.821234,377028.057787,Killybegs Community Hospital
Kilmainhamwood Nursing Home,"Kilmainhamwood Nursing Home, Kilmainhamwood, Kells, Co. Meath, Meath",Meath,277449.340362,274531.793902,Kilmainhamwood 
Kilminchy Lodge Nursing Home,"Kilminchy, Portlaoise, Co. Laois, R32wk35",Laois,249051.094527123,199434.921914535,Kilminchy Lodge 
Kilrush District Hospital,"Kilrush District Hospital Ltd., Cooraclare Road, Kilrush, Co. Clare, Clare",Clare,99492.3887498,155504.290524,Kilrush District Hospital
Kilrush Nursing Home,"Kilrush Nursing Home, Kilimer Road, Kilrush, Co. Clare, Clare",Clare,100635.500046,153563.844232,Kilrush 
Kiltipper Woods Care Centre,"Stanford Woods Care Centre Ltd, T/A Kiltipper Woods Care Centre, Kiltipper Road, Dublin 24",Dublin,309012.057076832,225272.23983558,Kiltipper Woods Care Centre
Kiltormer Nursing Home,"Kiltormer Nursing Home, Kiltomer, Ballinasloe, Co. Galway, Galway",Galway,182381.97948,220281.290538,Kiltormer 
Kinsale Community Hospital,"Kinsale Community Hospital, Kinsale, Co. Cork, Cork",Cork,163855.930098,50539.9714432,Kinsale Community Hospital
Kinvara House,"Kinvara House Nursing Home, 3 - 4 Esplanade, Strand Road, Bray, Co.Wicklow Wicklow",Wicklow,327076.865578,218583.782892,Kinvara House
Knightsbridge Nursing Home,"Knightsbridge Nursing Home, Longwood Road, Trim, Co. Meath, Meath",Meath,279984.690344,256037.378054,Knightsbridge 
Knockeen Nursing Home,"Knockeen Nursing Home, Knockeen, Barntown, Wexford, Wexford",Wexford,297264.667205,122482.179888,Knockeen 
Kylemore House Nursing Home,"Kylemore House Nursing Home, Sidmonton Road, Bray, Co. Wicklow, Wicklow",Wicklow,326988.065176,217930.297715,Kylemore House 
La Verna Nursing Home,"La Verna Nursing Home, 30 Haddon Road, Clontarf, Dublin 3, Dublin 3",Dublin,319072.839865,236140.95814,La Verna 
Lake House Nursing Home,"Lake House Nursing Home, Portnablagh, Co. Donegal, Donegal",Donegal,204573.058474,436409.838474,Lake House 
Lakes Nursing Home,"Hill Road, Killaloe, Co. Clare, Clare",Clare,169771.122492029,172864.010928807,Lakes 
Larchfield  Park Nursing Home,"Larchfield Park Nursing Home, Monread Road, Naas, Co. Kildare, Kildare",Kildare,290438.977235,221472.200925,Larchfield  Park 
Laurel Lodge Nursing Home,"Laurel Lodge Nursing Home, Templemichael Glebe, Longford, Co. Longford, Longford",Longford,214865.304755,276219.185743,Laurel Lodge 
Lawson House Nursing Home,"Lawson House Nursing Home, Knockrathkyle, Glenbrien, Enniscorthy, Co. Wexford Wexford",Wexford,300830.817356,136581.057051,Lawson House 
Leeson Park House Nursing Home,"Leeson Park House Nursing Home, 10 Leeson Park, Ranelagh, Dublin 6, Dublin 6",Dublin,316790.989547,232081.586222,Leeson Park House 
Leopardstown Park Hospital,"Leopardstown Park Hospital, Foxrock, Dublin 18, Dublin 18",Dublin,319999.431512,225879.018977,Leopardstown Park Hospital
Lifford Community Hospital,"Lifford Community Hospital, Lifford, Co. Donegal, Donegal",Donegal,233330.162908,398460.36008,Lifford Community Hospital
Lir Retirement Home,"Lir Retirement Home, Tournafulla, Co.Limerick, Limerick, Limerick",Limerick,121240.664431,124252.022622,Lir Retirement Home
Lisdarn Centre,"Lisdarn Centre, Lisdarn Health Centre, Cavan, Cavan",Cavan,241834.185127,304557.453737,Lisdarn Centre
Lisheen Nursing Home,"Lisheen Nursing Home, Stoneylane, Rathcoole, Co. Dublin, Co. Dublin",Dublin,302178.577173,226583.67316,Lisheen 
Listowel Community Hospital,"Listowel Community Hospital St. Joseph's Ward, Listowel, Co. Kerry, Kerry",Kerry,98199.8405915,133859.32754,Listowel Community Hospital
Little Flower Nursing Home,"Little Flower Nursing Home, Labane, Ardrahan, Co. Galway, Galway",Galway,146412.21059,210641.990515,Little Flower 
Lough Corrib Nursing Home,"Lough Corrib Nursing Home, Kilbeg, Headford, Co. Galway, Galway",Galway,126499.706089,247168.219735,Lough Corrib 
Lough Erril Private Nursing Home,"Lough Erril Private Nursing Home, Lough Erril, Mohill, Co. Leitrim, Leitrim",Leitrim,205191.677986,296863.855059,Lough Erril Private 
Lourdesville Nursing Home,"Lourdesville Nursing Home, Athy Road, Kildare Town, Co. Kildare, Kildare",Kildare,272910.174763,212561.023414,Lourdesville 
Lucan Lodge Nursing Home,"Lucan Lodge Nursing Home, Ardeevin Drive, Lucan, Co. Dublin, Co. Dublin",Dublin,302796.712122,234810.798964,Lucan Lodge 
Lusk Community Unit,"Lusk Community Unit, Station Road, Lusk, Co. Dublin, Co. Dublin",Dublin,322595.805876,254020.94025,Lusk Community Unit
Lystoll Lodge Nursing Home,"Lystoll Lodge Nursing Home, Skehenerin, Listowel, Co. Kerry, Kerry",Kerry,101968.311538,133938.323355,Lystoll Lodge 
Mac Bride Community Nursing Unit,"Mac Bride Community Nursing Unit, Westport, Co. Mayo, Mayo",Mayo,99720.2024642,284285.663181,Mac Bride Community 
Macroom Community Hospital,"Macroom Community Hospital, Macroom, Co. Cork, Cork",Cork,133934.677559,72954.3781453,Macroom Community Hospital
Maple Court Nursing Home,"Maple Court Nursing Home, Dublin Road, Castlepollard, Mullingar, Co. Westmeath Westmeath",Westmeath,247133.681979,269276.165751,Maple Court 
Maria Goretti Nursing Home,"Maria Goretti Nursing Home, Proonts, Kilmallock, Co. Limerick, Limerick",Limerick,159192.498572,155815.603815,Maria Goretti 
Marian House,"Marian House, Congregation of the Holy Spirit, Kimmage Manor, Whitehall Road, Dublin 12 Dublin 12",Dublin,312720.374424,230036.783468,Marian House
Marian House,"Marian House, Holy Faith Convent, Glasnevin, Dublin 11, Dublin 11",Dublin,314750.196318,237701.467925,Marian House
Maryborough Nursing Home,"Maryborough Nursing Home, Maryborough Hill, Douglas, Cork, Cork",Cork,171711.702739,67833.2071381,Maryborough 
Maryfield Nursing Home,"Maryfield Nursing Home, Lucan Road, Chapelizod, Dublin 20, Dublin 20",Dublin,309940.820948,234534.31402,Maryfield 
Maryfield Nursing Home,"Maryfield Nursing Home, Farnablake East, Athenry, Galway, Galway",Galway,150332.938198,226868.661752,Maryfield 
Marymount Care Centre,"Marymount Care Centre, Westmanstown, Lucan, Co. Dublin, Co. Dublin",Dublin,303766.401407,237004.253493,Marymount Care Centre
Maynooth Community Care Unit,"Maynooth Community Care Unit, Leinster Street, Maynooth, Co. Kildare, Kildare",Kildare,293692.798369,237662.368143,Maynooth Community Care Unit
Maypark House Nursing Home,"Maypark House Nursing Home, Maypark Lane, Waterford, Waterford",Waterford,263325.34571,111323.699233,Maypark House 
Meadowlands Nursing Home,"Meadowlands Nursing Home, Dunmore Road, Cloonfad, Co. Roscommon, Roscommon",Roscommon,150783.575969,270267.978799,Meadowlands 
Meath Community Unit,"Meath Community Unit, 1-9 Heytesbury Street, Dublin 8, Dublin 8",Dublin,315220.557332,233056.207915,Meath Community Unit
Melview Nursing Home,"Melview Nursing Home, Prior Park, Clonmel, Co. Tipperary, Tipperary",Tipperary,220047.427502,123020.303859,Melview 
Middletown House Nursing Home,"Middletown House Nursing Home, Ardamine, Gorey, Wexford, Wexford",Wexford,318979.645208,151545.580156,Middletown House 
Midleton Community Hospital,"Midleton Community Hospital, Midleton, Co. Cork, Cork",Cork,188156.860483,73491.9123804,Midleton Community Hospital
Milford Care Centre,"MILFORD DAY CARE CENTRE, PLASSEY PARK ROAD, CASTLETROY, LIMERICK",Limerick,161209.067877044,157834.908953792,Milford Care Centre
Mill Lane Manor Nursing Home,"Mill Lane Manor Nursing Home, Sallins Road, Naas, Co. Kildare, Kildare",Kildare,289087.21612,220152.23878,Mill Lane Manor 
Mill Race Nursing Home,"Mill Race Nursing Home, Bridge Street, Ballinasloe, Co. Galway, Galway",Galway,185587.090768,231203.52098,Mill Race 
Millbrae Lodge Nursing Home,"Millbrae Lodge Nursing Home, Newport, Co. Tipperary, Tipperary",Tipperary,170939.509857,161954.318854,Millbrae Lodge 
Millbury Nursing Home,"Millbury Nursing Home, Common's Road, Navan, Co. Meath, Meath",Meath,285880.057918,266604.445754,Millbury 
Millhouse Care Centre,"Millhouse Care Centre, Newtown Commons, New Ross, Co. Wexford, Wexford",Wexford,273761.254215,128267.414086,Millhouse Care Centre
Moate Nursing Home,"Moate Nursing Home, Dublin Road, Moate, Co. Westmeath, Westmeath",Westmeath,220191.339971,238471.882984,Moate 
Mont Vista,"Mont Vista, Retreat Road, Athlone, Co. Westmeath, Westmeath",Westmeath,205384.543977,241386.925464,Mont Vista
Mooncoin Residential Care Centre,"Mooncoin Residential Care Centre, Pollrone, Mooncoin, Co. Kilkenny, Kilkenny",Kilkenny,250679.595232,116103.137687,Mooncoin Residential Care Centre
Moorehall Lodge Ardee,"Moorehall Lodge, Hale Street, Ardee, Co. Louth, Louth",Louth,296421.373152,290397.155982,Moorehall Lodge Ardee
Moorehall Lodge Drogheda,"Moorehall Lodge, Drogheda, Dublin Road, Drogheda, Louth Louth",Louth,296459.438,290415.375,Moorehall Lodge Drogheda
Mount Alvernia Hospital,"Mount Alvernia Hospital, Newberry, Mallow, Cork, Cork",Cork,152619.746678,95624.7305765,Mount Alvernia Hospital
Mount Cara,"Mount Cara, Redemption Road, Blackpool, Cork, Cork",Cork,167098.895,72846.135,Mount Cara
Mount Carmel Nursing Home,"Mount Carmel Nursing Home, Abbey Street, Roscrea, Tipperary, Tipperary",Tipperary,213232.845,188984.667,Mount Carmel 
Mount Carmel Supported Care Home,"Mount Carmel Supported Care Home, Prologue, Callan, Co. Kilkenny, Kilkenny",Kilkenny,241058.899657,143534.507759,Mount Carmel
Mount Hybla Nursing Home,"Mount Hybla Nursing Home, Farmleigh Woods, Castleknock, Dublin 15, Dublin 15",Dublin,309231.063,236521.797,Mount Hybla 
Mount Tabor Nursing Home,"Mount Tabor Nursing Home and Care Centre, Sandymount Green, Sandymount, Dublin 4, Dublin 4",Dublin,318969.854099,232803.257935,Mount Tabor 
Mountbellew Nursing Home,"Mountbellew Nursing Home, Mountbellew, Co. Galway, Galway",Galway,166913.623872,246724.650809,Mountbellew 
Mountpleasant Lodge,"Mountpleasant Lodge, Kilcock to Clane Road, Kilcock, Co. Kildare, Kildare",Kildare,286090.638038,237522.920076,Mountpleasant Lodge
Moy Ridge Nursing Home,"Moyridge Nursing Home, Ridgepool Road, Ballina, Co. Mayo, Mayo",Mayo,124414.141695,318431.207007,Moy Ridge 
Moycullen Nursing Home,"Moycullen Nursing Home, Ballinahalla, Moycullen, Co. Galway, Galway",Galway,121863.582173,235152.53765,Moycullen 
Moyglare Nursing Home,"Moyglare Nursing Home, Moyglare Road, Maynooth, Co. Kildare, Kildare",Kildare,293193.912818,238833.623923,Moyglare 
Moyne Nursing Home,"Moyne Nursing Home, The Moyne, Enniscorthy, Co. Wexford, Wexford",Wexford,297156.81751,142398.370728,Moyne 
Mullinahinch House Private Nursing Home,"Mullinahinch House Private Nursing Home, Mullinahinch, Co. Monaghan, Monaghan",Monaghan,267070.59239,333647.262855,Mullinahinch House Private 
Mullross Nursing Home,"Mullross Nursing Home - Partnership, Kilclare, Carrick on 'Shannon, Leitrim",Leitrim,198943.109,306546.219,Mullross 
Mystical Rose Private Nursing Home,"Mystical Rose Nursing Home, Knockdoemor, Claregalway, Co. Galway, Galway",Galway,138650.871846,235993.507777,Mystical Rose Private 
Nazareth House,"Fahan, Lifford, Co. Donegal",Donegal,233888.43244752,426868.666382643,Nazareth House
Nazareth House,"Nazareth House, Malahide Road, Dublin 3, Dublin 3",Dublin,318193.644128,237201.677448,Nazareth House
Nazareth House,"Nazareth House, Dromahane, Mallow, Co Cork, Cork",Cork,155589.349276,98620.1153952,Nazareth House
Nazareth Nursing Home,"Nazareth Nursing Home, Church Hill, Sligo, Sligo",Sligo,159573.95553,314108.061964,Nazareth 
Nenagh Manor Nursing Home,"Nenagh Manor Nursing Home, Yewston, Nenagh, Co. Tipperary, Tipperary",Tipperary,186118.545992,178880.979326,Nenagh Manor 
New Houghton Hospital,"New Haughton Hospital, Hospital Road, New Ross, Co. Wexford, Wexford",Wexford,272276.551994,126928.224122,New Houghton Hospital
New Lodge Nursing Home,"New Lodge Nursing Home, C/o Bloomfield Care Centre, Stocking Lane, Rathfarnham, Dublin 16 Dublin 16",Dublin,313128.945877,226205.327351,New Lodge 
Newbrook Lodge Nursing Home,"Newbrook Lodge Nursing Home, Ballymahon Road, Mullingar, Co. Westmeath, Westmeath",Westmeath,241626.225761,252004.64098,Newbrook Lodge 
Newbrook Nursing Home,"Newbrook Nursing Home, Ballymahon Road, Mullingar, Co. Westmeath, Westmeath",Westmeath,241506.136468,251943.592518,Newbrook 
Newpark Care Centre,"Newpark, The Ward, Co. Dublin, D11rw27",Dublin,310846.813591482,245628.718965192,Newpark Care Centre
Newtownpark House,"Newtownpark House, Newtownpark Avenue, Blackrock, Co. Dublin, Co. Dublin",Dublin,321713.335338,227811.98701,Newtownpark House
Nightingale Nursing Home,"Nightingale Nursing Home, Lowville, Ahascragh, Ballinasloe, Co. Galway Galway",Galway,177690.642737,237866.175774,Nightingale 
Northbrook Nursing Home,"Northbrook House, 26 Northbrook Road, Ranelagh, Dublin 6, Dublin 6",Dublin,316323.502862,232481.068205,Northbrook 
Norwood Grange,"Norwood Grange, Ballinora, Waterfall, Cork, Cork",Cork,160012.46116,68024.8527478,Norwood Grange
O'Gorman Home,"O'Gorman Home, Castle Street, Ballyragget, Co. Kilkenny, Kilkenny",Kilkenny,244855.166768,170768.491555,O'Gorman Home
Oak View Nursing Home,"Oak View Nursing Home, The Commons, Belturbet, Co. Cavan, Cavan",Cavan,238301.475013,313315.778986,Oak View 
Oakdale Nursing Home,"Oakdale Nursing Home, Kilmalogue, Gracefield, Portarlington, Co. Offaly Offaly",Offaly,251739.36557,213353.826132,Oakdale 
Oakfield Nursing Home,"Oakfield Nursing Home, Courtown, Gorey, Co. Wexford, Wexford",Wexford,319773.070873,156193.75781,Oakfield 
Oaklands Nursing home,"Oaklands Nursing Home, Derry, Listowel, Co. Kerry, Kerry",Kerry,103591.890009,137650.085249,Oaklands 
Oaklodge Nursing Home,"Oaklodge Nursing Home, Churchtown South, Cloyne, Co. Cork, Cork",Cork,194310.097081,63894.2818248,Oaklodge 
Oakwood Nursing Home,"Oakwood Private Nursing Home, Circular Road, Ballaghaderreen, Co. Roscommon, Roscommon",Roscommon,162049.952274,294725.386407,Oakwood 
Oakwood Nursing Home,"Oakwood Private Nursing Home, Hawthorne Drive, Roscommon Town, Co. Roscommon, Roscommon",Roscommon,188924.206935,264423.132465,Oakwood 
Ocean View Retirement and Nursing Home,"Ocean View Retirement and Nursing Home, Knockglassmore, Camp, Tralee, Co. Kerry Kerry",Kerry,70591.8402554,109800.747103,Ocean View
Oghill Nursing Home,"Oghill Nursing Home, Oghill, Monasterevin, Co. Kildare, Kildare",Kildare,266892.262839,208969.565044,Oghill 
Oranmore Nursing Home,"Oranmore Nursing Home, Bushfield, Oranmore, Galway, Galway",Galway,140992.533729,225209.677828,Oranmore 
Oriel House,"Oriel House, St. Davnet's Complex, Rooskey, Monaghan, Monaghan",Monaghan,266843.692918,333788.449983,Oriel House
Orwell House Nursing Home,"Orwell House Nursing Home, 112 Orwell Road, Rathgar, Dublin 6, Dublin 6",Dublin,315661.076932,229726.945881,Orwell House 
Ospideal Pobail Chorca Dhuibhne (West Kerry Community Hospital),"BÃ³thar an Phoist, Daingean UÃ­ ChÃºis, Co. ChiarraÃ­",Kerry,44802.6413743969,101166.186104899,Ospideal Pobail Chorca Dhuibhne (West Kerry Community Hospital)
Otharlann Pobail an ChlochÃ¡in Leith,"BÃ³thar Ghaoth Dobhair, An ClochÃ¡n Liath, Co. DÃºn na nGall.",Donegal,176902.25897091,411402.258093181,Otharlann Pobail an ChlochÃ¡in Leith
Oughterard Manor,"Oughterard Manor, Oughterard, Co Galway, Galway",Galway,112259.036,243046.938,Oughterard Manor
Our Lady of Consolation Nursing Home,"Our Lady of Consolation Nursing Home, Arden Road, Tullamore, Co. Offaly, Offaly",Offaly,233873.873971,225170.421517,Our Lady of Consolation 
Our Lady of Fatima Home,"Our Lady of Fatima Home, Oakpark Road, Tralee, Co. Kerry, Kerry",Kerry,85047.5531818,115779.867132,Our Lady of Fatima Home
Our Lady of Lourdes Care Facility,"Our Lady of Lourdes Care Facility, Kilcummin Village, Killarney, Co. Kerry, Kerry",Kerry,99812.8571659,89657.6736618,Our Lady of Lourdes Care Facility
Our Lady's Hospice and Care Services,"Our Lady's Hospice and Care Services, Harold's Cross, Dublin 6W, Dublin 6w",Dublin,314560.569074,232050.180624,Our Lady's Hospice and Care Services
Our Lady's Manor Nursing Home,"Our Lady's Manor Nursing Home, Dublin Road, Edgeworthstown, Longford, Longford",Longford,225970.560096,271284.096178,Our Lady's Manor 
Padre Pio House Nursing Home,"Padre Pio House Nursing Home, Churchtown, Mallow, Co. Cork, Cork",Cork,150197.045492,113575.912758,Padre Pio House 
Padre Pio Nursing Home,"Padre Pio Nursing Home, Holycross, Thurles, Co. Tipperary, Tipperary",Tipperary,209503.68004,154142.424282,Padre Pio 
Padre Pio Nursing Home,"Padre Pio Nursing Home, Sunnyside, Upper Rochestown, Cork, Cork",Cork,174579.284051,68437.0302512,Padre Pio 
Padre Pio Nursing Home,"Padre Pio Nursing Home, 50 / 51A Cappaghmore, Clondalkin, Dublin 22, Dublin 22",Dublin,306251.796746,232159.846358,Padre Pio 
Padre Pio Rest Home,"Padre Pio Rest Home, Cappoquin, Co. Waterford, Waterford",Waterford,210228.567085,99470.3267706,Padre Pio Rest Home
Parke House Nursing Home,"Parke House Nursing Home, Kilcock, Co. Kildare, Kildare",Kildare,286421.359682,240632.317206,Parke House 
Patterson's Nursing Home,"Patterson's Nursing Home, Lismackin, Roscrea, Co. Tipperary, Tipperary",Tipperary,213570.202477,183238.73165,Patterson's 
Peamount Hospital,"Peamount Hospital, Newcastle, Co. Dublin, Co. Dublin",Dublin,301716.396546,230793.761892,Peamount Hospital
Phoenix Park Community Nursing Units,"Phoenix Park Community Nursing Units, St. Mary's Hospital, Phoenix Park, Dublin 20, Dublin 20",Dublin,310798.905786,234636.901011,Phoenix Park Community 
Pilgrims Rest Nursing Home,"Pilgrim's Rest Nursing Home, Barley Hill, Westport, Co. Mayo, Mayo",Mayo,98074.11314,286555.683801,Pilgrims Rest 
Plunkett Community Nursing Unit,"Plunkett Community Nursing Unit, Elphin Street, Boyle, Co. Roscommon, Roscommon",Roscommon,180156.872835,302209.251564,Plunkett Community 
Portiuncula Nursing Home,"Portiuncula Nursing Home, Multyfarnham, Mullingar, Co. Westmeath, Westmeath",Westmeath,240260.198006,264450.508227,Portiuncula 
Portumna Retirement Village,"Portumna Retirement Village, St. Brendan's Road, Portumna, Co. Galway, Galway",Galway,184883.987602,204977.925143,Portumna Retirement Village
Powdermill Nursing Home,"Powdermill Nursing Home, Gunpowder Mill, Ballincollig, Co. Cork, Cork",Cork,159302.930108,71296.5919226,Powdermill 
Queen of Peace Centre,"Queen of Peace Centre, Garville Avenue, Rathgar, Dublin 6, Dublin 6",Dublin,316200.676579,232647.183017,Queen of Peace Centre
Queen of Peace Nursing Home,"Queen of Peace Nursing Home, Churchfield, Knock, Co. Mayo, Mayo",Mayo,139130.501803,282433.025445,Queen of Peace 
Raheen Community Hospital,"Raheen Community Hospital, Tuamgraney, Scariff, Ennis, Co. Clare Clare",Clare,165902.971184,182661.263663,Raheen Community Hospital
Raheny Community Nursing Unit,"Raheny Community Nursing Unit, Harmonstown Road, Raheny, Dublin 5, Dublin 5",Dublin,320788.766505,238545.353183,Raheny Community 
Raheny House Nursing Home,"Raheny House Nursing Home, Raheny House, 476 Howth Road, Raheny, Dublin 5 Dublin 5",Dublin,321093.892294,238062.902614,Raheny House 
Ramelton Community Hospital,"Ramelton Community Hospital, Ramelton, Letterkenny, Co. Donegal, Donegal",Donegal,222827.519622,421287.58789,Ramelton Community Hospital
Rathkeevan Nursing Home,"Rathkeevan Nursing Home, Rathkeevan, Clonmel, Co. Tipperary, Tipperary",Tipperary,214971.803448,124542.18472,Rathkeevan 
Ratoath Manor Nursing Home,"Ratoath Manor Nursing Home, Ratoath, Co. Meath, Meath",Meath,302189.565502,251805.426957,Ratoath Manor 
Regina House Community Nursing Unit,"Regina House Community Nursing Unit, Kilrush, Co. Clare, Clare",Clare,99535.6374628,155664.267182,Regina House Community 
Residential Care Home Unit 5 & Unit 6 (Merlin Park Hospital),"Residential Care Home Unit 5 & Unit 6 (Merlin Park Hospital), Dublin Road, Galway, Galway",Galway,133723.05107,225612.935658,Merlin Park Hospital
Retreat Nursing Home,"Retreat Nursing Home, Loughandonning, Bonnavalley, Athlone, Westmeath Westmeath",Westmeath,205584.541583,241122.522462,Retreat 
Riada House Community Nursing Unit,"Riada House Community Nursing Unit, Arden Road, Tullamore, Co. Offaly, Offaly",Offaly,233873.873971,225170.421517,Riada House Community 
Riverdale House,"Riverdale House, Blackwater, Ardnacrusha, Co. Clare, Clare",Limerick,157200.855625,156822.927034,Riverdale House
Riverdale Nursing Home,"Riverdale Nursing Home, Laragh, Ballon, Co. Carlow, Carlow",Carlow,282747.870575,164442.912448,Riverdale 
Riverside Nursing Home,"Riverside Nursing Home, Toberburr Road, St. Margarets, Co. Dublin, Co. Dublin",Dublin,312918.894764,243705.284354,Riverside 
Riverside Nursing Home,"Riverside Care Centre, Milltown, Abbeydorney, Tralee, Co. Kerry Kerry",Kerry,84350.842847,122645.648723,Riverside 
Rivervale Nursing Home,"Rivervale Nursing Home, Old Birr Road, Nenagh, Co. Tipperary, Tipperary",Tipperary,187267.691946,179983.888417,Rivervale 
Rochestown Nursing Home,"Rochestown Nursing Home, Monastery Road, Rochestown, Co. Cork, Cork",Cork,174527.456015,68417.0242769,Rochestown 
Rockshire Care Centre,"Rockshire Care Centre, Rockshire Road, Ferrybank, Co. Waterford, Waterford",Kilkenny,260601.162521,113576.66587,Rockshire Care Centre
Ros Aoibhinn,"Ros Aoibhinn Nursing Home, Irish Street, Bunclody, Co. Wexford, Wexford",Wexford,291227.32455,156704.975317,Ros Aoibhinn
Rosary Hill House Nursing Home,"Rosary Hill House Nursing Home, Stradbally, Castleconnell, Co. Limerick, Limerick",Limerick,157200.855625,156822.927034,Rosary Hill House 
Rosedale Residential Home,"Rosedale Residential Home, Upper Kilmacow, Co. Kilkenny, Kilkenny",Kilkenny,255298.280459,117536.742746,Rosedale Residential Home
Roselodge Nursing Home,"Roselodge Nursing Home, Killucan, Co. Westmeath, Westmeath",Westmeath,256812.993057,251692.752715,Roselodge 
Rosemount House Nursing Home,"Rosemount Nursing Home, Garrabeg Road, Church Street, Gort, Co. Galway Galway",Galway,144820.024763,202033.772532,Rosemount House 
Rosenalee Care Centre Ltd.,"Rosenalee Care Centre, Poulavone, Ballincollig, Co. Cork, Cork",Cork,160224.672839,70925.994938,Rosenalee Care Centre Ltd.
Roseville House Nursing Home,"Roseville House Nursing Home, Killonan, Ballysimon, Limerick, Limerick",Limerick,157200.855625,156822.927034,Roseville House 
Roseville Nursing Home,"Roseville Nursing Home, 49 Meath Road, Bray, Co. Wicklow, Wicklow",Wicklow,327038.385713,218202.973948,Roseville 
Royal Hospital Donnybrook,"Royal Hospital Donnybrook, Morehampton Road, Donnybrook, Dublin 4, Dublin 4",Dublin,317166.692784,232042.281715,Royal Hospital Donnybrook
